Time: 3605.29
Lx: 11005.2 0.208968
Ly: 4900
Id TipoPieza x y ángulo
0 0 5822.2 435.025 0
1 0 7984.58 2397.67 0
2 1 6370.99 4639 0
3 1 7971.2 0 0
4 2 2705 173 0
5 2 2705 3413 0
6 2 3639.2 1844.78 0
7 2 8822.2 664.025 0
8 3 74 3443 0
9 3 4621.15 0 0
10 3 5848.59 2641.12 0
11 3 5992.2 186.025 0
12 4 0 1152 0
13 4 0 1709 0
14 4 6384.58 2905 0
15 4 9404.99 4532 0
16 5 1618.53 1152 0
17 5 2703.2 1922 0
18 5 2703.2 2581 0
19 5 4886.2 1012.78 0
20 6 56 2150 0
21 6 5364.58 3346 0
22 7 0 3748 0
23 7 0 0 0
