Time: 3601.25
Lx: 12025.4 0.276076
Ly: 4900
Id TipoPieza x y ángulo
0 0 6842.39 86 0
1 0 8827.13 2333.99 0
2 1 0 1505.23 0
3 1 8714.39 4639 0
4 2 2676 2268.55 0
5 2 4659.39 3413 0
6 2 4659.39 1124.09 0
7 2 9842.39 173 0
8 3 74 1124.5 0
9 3 6982.39 3148.38 0
10 3 6982.39 3334.38 0
11 3 6982.39 3520.38 0
12 4 155.149 3239.69 0
13 4 2085.21 1766.23 0
14 4 4859 2833 0
15 4 7143.47 4532 0
16 5 6842.39 3825.38 0
17 5 6842.39 2174 0
18 5 7778.39 3845.42 0
19 5 10888.9 1681.76 0
20 6 56 1922.15 0
21 6 245.258 3607 0
22 7 0 0 0
23 7 2705 0 0
