Time: 3603.86
Lx: 11977.4 0.273177
Ly: 4900
Id TipoPieza x y ángulo
0 0 4888 86 0
1 0 4888 2640.75 0
2 1 5810.25 2260 0
3 1 7888 4135.29 0
4 2 2705 1833 0
5 2 2705 173 0
6 2 7888 173 0
7 2 9794.43 1436 0
8 3 3163.33 4595 0
9 3 7195.11 4595 0
10 3 9375.43 4595 0
11 3 9375.43 4396.29 0
12 4 936 1325.08 0
13 4 2732.39 3341.13 0
14 4 2732.39 3820.82 0
15 4 3069.36 4226.29 0
16 5 0 1125 0
17 5 11041.4 4241 0
18 5 11041.4 3582 0
19 5 11041.4 2923 0
20 6 56 3607 0
21 6 8155.75 2842.29 0
22 7 0 0 0
23 7 0 1784 0
