Time: 3601
Lx: 11694.5 0.255591
Ly: 4900
Id TipoPieza x y ángulo
0 0 0 86 0
1 0 7779.4 159.679 0
2 1 7077.33 4639 0
3 1 8052.84 4121.51 0
4 2 3291.14 173 0
5 2 5547.4 957.554 0
6 2 7279.47 2496.63 0
7 2 9511.47 2603.51 0
8 3 6337.84 4185.97 0
9 3 6445.49 3934.34 0
10 3 10028.5 4431.51 0
11 3 10028.5 0 0
12 4 5457.47 401.794 0
13 4 5457.47 4525.21 0
14 4 5457.47 0 0
15 4 5583.84 2513.86 0
16 5 2725 3533 0
17 5 2725 4241 0
18 5 4175.43 4241 0
19 5 10758.5 1722.51 0
20 6 56 3607 0
21 6 2928.27 1753.86 0
22 7 97.4428 2309 0
23 7 3710 3095.86 0
