Time: 3600.49
Lx: 19011.2 0.542089
Ly: 4900
Id TipoPieza x y ángulo
0 0 0 86 0
1 0 14261 295.004 0
2 1 2301.51 2641.97 0
3 1 15977.2 2959 0
4 2 0 3413 0
5 2 3490 173 0
6 2 7419.11 3413 0
7 2 11588 185.533 0
8 3 5990.36 0 0
9 3 6237 718.317 0
10 3 11592.1 2200.34 0
11 3 17345.2 4490.28 0
12 4 13228.4 2840.93 0
13 4 14657.4 4490.28 0
14 4 16553.1 3710 0
15 4 17411.2 0 0
16 5 5993.11 4241 0
17 5 10092.1 4241 0
18 5 10092.1 1936.89 0
19 5 10092.1 3085.89 0
20 6 2729 3607 0
21 6 5922.65 1525.32 0
22 7 8393 80.2752 0
23 7 11518.1 3698.93 0
