Time: 3602.21
Lx: 11698 0.255815
Ly: 4900
Id TipoPieza x y ángulo
0 0 936 984.879 0
1 0 8697.99 557.435 0
2 1 1600 376.879 0
3 1 1608.99 637.879 0
4 2 0 3413 0
5 2 2183 3413 0
6 2 4344.24 2542.49 0
7 2 6514.99 173 0
8 3 74 210.976 0
9 3 1515.3 39.4868 0
10 3 4810.6 0 0
11 3 8601.23 0 0
12 4 0 578.377 0
13 4 3136.6 0 0
14 4 10098 160.015 0
15 4 10098 3380 0
16 5 0 1617.09 0
17 5 0 958.092 0
18 5 4642.99 344.487 0
19 5 5578.99 305 0
20 6 3961.53 1076.49 0
21 6 6567.99 2455 0
22 7 6287.99 3748 0
23 7 8992.99 3748 0
