Time: 3601.27
Lx: 36.7291 0.264888
Ly: 15
Id TipoPieza x y ángulo
0 0 9.96124 1.25 0
1 0 28.7291 1 0
2 0 32.7291 11 0
3 0 32.7291 1 0
4 0 32.7291 6 0
5 1 1 0 0
6 1 14.4791 5 0
7 1 17.9791 10 0
8 1 17.9791 5 0
9 1 29.9791 5.5 0
10 2 1 5.52091 0
11 2 21.9791 6.5 0
12 2 25.7291 11 0
13 2 25.9791 7 0
14 2 29.7291 11 0
15 3 0 9.82557 0
16 3 18.4612 0 0
17 3 20.9791 10 0
18 3 21.622 1.67857 0
19 3 25.0624 0 0
20 4 3.47909 5 0
21 4 4.96124 0 0
22 4 5.96124 10 0
23 4 8.47909 5.66667 0
24 4 13.4612 0 0
25 5 5.13023 6.82557 0
26 5 6.96124 12 0
27 5 6.96124 2 0
28 5 14.9612 12 0
29 5 15.4612 2 0
30 6 3.69251 11.9031 0
31 6 3.96124 9.90309 0
32 6 3.96124 1.5 0
33 6 8.67909 7.86667 0
34 6 10.9612 13 0
