Time: 3601.14
Lx: 37.95 0.288538
Ly: 15
Id TipoPieza x y ángulo
0 0 21.95 1 0
1 0 29.95 1 0
2 0 33.95 6 0
3 0 33.95 11 0
4 0 33.95 1 0
5 1 13 8.1 0
6 1 19.6 4.9 0
7 1 19.6 9.9 0
8 1 23.15 5 0
9 1 30.95 5 0
10 2 18.95 0 0
11 2 26.95 5.6 0
12 2 26.95 10.2 0
13 2 26.95 0 0
14 2 30.95 11 0
15 3 8 10 0
16 3 12 3.1 0
17 3 15.2 9.7 0
18 3 15.2 4.7 0
19 3 22.55 10 0
20 4 0 0 0
21 4 3 6.5 0
22 4 5.96667 0 0
23 4 7 5 0
24 4 12.95 0 0
25 5 2 6 0
26 5 2 3 0
27 5 2 9 0
28 5 3.33333 12 0
29 5 6 10 0
30 6 0 12 0
31 6 3.33333 9 0
32 6 5 1.51667 0
33 6 5 3.51667 0
34 6 5.33333 13 0
