Time: 3601.4
Lx: 64.7996 0.583331
Ly: 15
Id TipoPieza x y ángulo
0 0 32.9329 1 0
1 0 49.4996 2 0
2 0 56.7996 5.5 0
3 0 60.7996 2.5 0
4 0 60.7996 7.5 0
5 1 7.84235 0.181176 0
6 1 12.4329 0 0
7 1 13.8424 9.40941 180
8 1 31.4329 10 180
9 1 35.4329 10 180
10 2 43.4996 0 0
11 2 43.4996 11 0
12 2 52.2996 10 0
13 2 57.2996 11 0
14 2 57.2996 0 0
15 3 14.8424 2.18118 0
16 3 22.2663 4.33333 0
17 3 36.9329 2.5 0
18 3 40.1996 5.3 0
19 3 47.2996 9.4 0
20 4 19.9329 0 0
21 4 20.9329 10 0
22 4 44.4996 5 0
23 4 5 14.4094 180
24 4 20.9329 15 180
25 5 7.02745 3.45882 0
26 5 22.9329 12 0
27 5 2 6 180
28 5 4 3 180
29 5 4 10.5 180
30 6 0 0 0
31 6 3.02745 4.45882 0
32 6 6.69412 6.45882 0
33 6 18.8424 2.33333 0
34 6 18.8424 10.1969 0
