Time: 3603.32
Lx: 69.1973 0.609812
Ly: 15
Id TipoPieza x y ángulo
0 0 0 11 0
1 0 31.3343 9.38074 0
2 0 50.0162 5.95032 0
3 0 55.5162 6.34622 0
4 0 59.5627 11 0
5 1 26.8343 7.34311 0
6 1 45.5162 3.5 0
7 1 66.1973 7.14026 0
8 1 26.8343 5 180
9 1 63.1778 5 180
10 2 6.5 11 0
11 2 37.8343 10.6849 0
12 2 47.9696 10.6041 0
13 2 53.4696 0 0
14 2 53.4696 11 0
15 3 5.5 0 0
16 3 34.3967 1.72164 0
17 3 39.0162 3.83673 0
18 3 41.8538 10 0
19 3 65.1973 0.315095 0
20 4 17.3343 0 0
21 4 5 7.42705 180
22 4 16.25 9.53962 180
23 4 19.1572 5 180
24 4 22.9802 11.5 180
25 5 7.42081 6.5 0
26 5 12.6361 12 0
27 5 25.1361 12 0
28 5 31.7417 7.5 180
29 5 31.7417 3 180
30 6 10.6572 1.03962 0
31 6 16.1361 13 0
32 6 19.6361 13 0
33 6 22.3343 6.5 0
34 6 44.5162 0 0
