Time: 3604.3
Lx: 36.4333 0.25892
Ly: 15
Id TipoPieza x y ángulo
0 0 12.7667 1 0
1 0 20.4333 1 0
2 0 24.4333 1 0
3 0 24.7667 6.8 0
4 0 28.7667 6 0
5 1 6.26667 0 0
6 1 9.76667 0 0
7 1 14.4333 10 0
8 1 18.4333 5 0
9 1 29.9333 10 0
10 2 17.9333 10 0
11 2 21.9333 11 0
12 2 25.9333 11 0
13 2 29.4333 1 0
14 2 33.4333 10 0
15 3 3.43333 5 0
16 3 3.93333 10 0
17 3 16.4333 0 0
18 3 21.1667 6 0
19 3 32.4333 5 0
20 4 0.266667 0 0
21 4 8.43333 10 0
22 4 12.4333 5 0
23 4 31.4333 0 0
24 4 7.43333 10 270
25 5 2 1.86667 0
26 5 2 4.86667 0
27 5 2 7.86667 0
28 5 10.4333 7 0
29 5 10.4333 12 0
30 6 0 13 0
31 6 0 10.8667 0
32 6 2 10.8667 0
33 6 2 12.8667 0
34 6 7.43333 11.5 0
