Time: 3601.85
Lx: 39.1206 0.367768
Ly: 15
Id TipoPieza x y ángulo
0 0 4.6 5 0
1 0 6.2 0 0
2 0 12.2 5 0
3 0 24.1206 10 0
4 0 28.6206 5 0
5 0 28.6206 10 0
6 0 32.1206 10 0
7 0 32.1206 0 0
8 0 32.1206 5 0
9 0 6.2 15 180
10 0 12.2 5 180
11 0 14.6 15 180
12 0 26.6206 10 180
13 0 30.1206 5 180
14 1 0 8.4 0
15 1 0 0 0
16 1 7.6 5 0
17 1 7.6 10 0
18 1 15.1524 5.09524 0
19 1 15.1524 0.0952381 0
20 1 15.3429 10 0
21 1 19.1206 9.33333 0
22 1 19.1206 0 0
23 1 19.7873 4.66667 0
24 1 23.1206 0 0
25 1 35.1206 10 0
26 1 35.1206 0 0
27 1 35.1206 5 0
