Time: 3603.06
Lx: 45.4286 0.316143
Ly: 15
Id TipoPieza x y ángulo
0 0 4.5 0 0
1 0 16.9286 0 0
2 0 16.9286 10 0
3 0 24.4286 0 0
4 0 24.4286 5 0
5 0 24.4286 10 0
6 0 27.9286 5 0
7 0 27.9286 10 0
8 0 27.9286 0 0
9 0 31.4286 5 0
10 0 31.4286 0 0
11 0 34.9286 5 0
12 0 34.9286 10 0
13 0 34.9286 0 0
14 0 38.4286 10 0
15 0 38.4286 5 0
16 0 42.4286 0 0
17 0 42.4286 5 0
18 1 0 0 0
19 1 0 5 0
20 1 0 10 0
21 1 4 10 0
22 1 4 5 0
23 1 8 10 0
24 1 8 5 0
25 1 8 0 0
26 1 12 5.21429 0
27 1 12 0 0
28 1 12.4286 10 0
29 1 15.9286 5 0
30 1 19.9286 0 0
31 1 19.9286 10 0
32 1 19.9286 5 0
33 1 37.9286 0 0
34 1 41.4286 10 0
