Time: 3600.58
Lx: 111.423 0.667034
Ly: 15
Id TipoPieza x y ángulo
0 0 6.0195 8.35676 0
1 0 16.052 10 0
2 0 56.7388 0.0404492 0
3 0 67.3446 0.370999 0
4 0 68.8991 9.5 0
5 0 79.0762 6.871 0
6 0 79.0762 0.0811388 0
7 0 87.3746 0 0
8 0 88.0205 10 0
9 0 101.496 10 0
10 0 101.496 0 0
11 0 108.423 8 0
12 0 32.141 5.45471 180
13 0 65.3991 13.2555 180
14 0 75.5762 5 180
15 0 75.5762 11.5 180
16 0 86.5762 9.32295 180
17 0 94.8746 11.6459 180
18 0 94.8746 5 180
19 0 100.375 9 180
20 0 108.423 6.5 180
21 1 0 8.04167 0
22 1 0 1.36462 0
23 1 5.12627 0 0
24 1 9.87494 10 0
25 1 9.87494 1.85676 0
26 1 14.8372 0 0
27 1 19.7772 1.47395 0
28 1 22.6192 10 0
29 1 24.4639 3.45471 0
30 1 28.2004 10 0
31 1 34.1605 0.769801 0
32 1 34.1605 10 0
33 1 39.0366 7.88491 0
34 1 39.485 0 0
35 1 43.6561 10 0
36 1 45.0653 0.193484 0
37 1 48.2756 7.11509 0
38 1 50.5819 0 0
39 1 52.9601 9.42535 0
40 1 57.5796 6.54045 0
41 1 61.3064 0 0
