Time: 3600.56
Lx: 53.5 0.323988
Ly: 15
Id TipoPieza x y ángulo
0 0 1 0 0
1 0 1 10 0
2 0 1 5 0
3 0 4.5 0 0
4 0 4.5 10 0
5 0 5 5 0
6 0 8 0 0
7 0 8.5 5 0
8 0 8.5 10 0
9 0 11.5 0 0
10 0 12 10 0
11 0 15.5 10 0
12 0 15.5 5 0
13 0 19 5 0
14 0 19 0 0
15 0 19 10 0
16 0 22.5 10 0
17 0 26 10 0
18 0 26 0 0
19 0 26 5 0
20 0 29.5 5 0
21 0 29.5 0 0
22 0 30 10 0
23 0 33 2.22998e-08 0
24 0 33.5 5 0
25 0 36.5 0 0
26 0 40 0 0
27 0 42.5 10 0
28 0 42.5 5 0
29 0 43.5 0 0
30 0 46.5 5 0
31 0 46.5 10 0
32 0 47 0 0
33 0 50.5 0 0
34 0 50.5 8 0
