Time: 3601.64
Lx: 41.8543 0.509409
Ly: 15
Id TipoPieza x y ángulo
0 0 0 9.87537 0
1 0 0 4.70767 0
2 0 3.19549 6.8198 0
3 0 3.19549 1.65209 0
4 0 6.39098 3.76423 0
5 0 6.39098 8.93193 0
6 0 9.58647 5.87636 0
7 0 9.58647 0.708653 0
8 0 12.782 2.82079 0
9 0 12.782 7.98849 0
10 0 15.9439 10 0
11 0 15.9998 0 0
12 0 16.3073 5.01398 0
13 0 19.5028 7.12611 0
14 0 19.5028 1.9584 0
15 0 23.0081 0 0
16 0 23.056 5.14375 0
17 0 24.2193 10 0
18 0 26.9907 4.47352 0
19 0 28.3774 10 0
20 0 28.3791 0 0
21 0 30.5129 5.76453 0
22 0 32.5129 0.0677631 0
23 0 32.5129 9.93224 0
24 0 34.2116 4.38614 0
25 0 36.6467 10 0
26 0 36.6484 0 0
27 0 37.8543 5.43608 0
