Time: 3601.05
Lx: 46.1667 0.444043
Ly: 15
Id TipoPieza x y ángulo
0 0 0 0 0
1 0 0 10 0
2 0 0 5 0
3 0 4 0 0
4 0 4 5 0
5 0 4 10 0
6 0 8 10 0
7 0 8 5 0
8 0 8 0 0
9 0 11 7 0
10 0 11 2 0
11 0 14.3333 10 0
12 0 14.3333 0 0
13 0 14.3333 5 0
14 0 18.3333 5 0
15 0 18.3333 10 0
16 0 18.3333 0 0
17 0 21.4333 6.8 0
18 0 21.4333 1.8 0
19 0 24.4333 3.8 0
20 0 24.4333 8.8 0
21 0 27.8333 5 0
22 0 27.8333 0 0
23 0 27.8333 10 0
24 0 31.8333 0 0
25 0 31.8333 10 0
26 0 31.8333 5 0
27 0 34.8333 2 0
28 0 34.8333 7 0
29 0 38.1667 0 0
30 0 38.1667 10 0
31 0 38.1667 5 0
32 0 42.1667 0 0
33 0 42.1667 10 0
34 0 42.1667 5 0
