Time: 3602.81
Lx: 66.8669 0.241553
Ly: 60
Id TipoPieza x y ángulo
0 0 27.5677 33.5804 0
1 0 51.8669 8 0
2 0 15 48.8673 180
3 1 46.6772 45 0
4 1 36.8669 46.1693 180
5 1 43.1677 33 180
6 2 7.56774 47.8673 0
7 2 18.5677 47 0
8 2 27.9628 30.1853 0
9 3 11 21.3222 0
10 3 38.8669 60 0
11 3 52.8669 60 0
12 4 48.4669 0 0
13 4 57.8669 9 0
14 4 34.9 46.1693 180
15 5 0 32.7598 0
16 5 42.4445 32.1552 0
17 5 53.3669 44 0
18 6 25.7346 54 180
19 6 32.7346 3.3222 180
20 6 32.7346 49 180
21 7 39.036 9 0
22 7 35.1677 41.1693 180
23 7 65.8669 45 180
24 8 11.2971 23.3222 0
25 8 11.2971 58 180
26 8 18.2971 58 180
27 9 4.62519 0 0
28 9 31.0735 0 0
29 9 31.2971 60 180
