Time: 3602.33
Lx: 70.0897 0.276427
Ly: 60
Id TipoPieza x y ángulo
0 0 15 51.2 180
1 0 70.0897 52 180
2 0 70.0897 43 180
3 1 55 13 180
4 1 56.6 0 180
5 1 65.6 5.77586 180
6 2 27 24 0
7 2 40.6 24 0
8 2 61.0897 41.7759 0
9 3 0 35.2889 0
10 3 41.0897 60 0
11 3 44.0897 45 0
12 4 41.8 27 180
13 4 54.2 30 180
14 4 70.0897 5.77586 180
15 5 25 8 180
16 5 31.4 28 180
17 5 41.6759 28 180
18 6 23 7 180
19 6 23 2 180
20 6 24.4 57 180
21 7 17 43.6 180
22 7 17.9 51.1 180
23 7 17.9 16 180
24 8 8 17.4 180
25 8 8 36.6222 180
26 8 15.2815 18.2889 180
27 9 14 43.6 180
28 9 14 50 180
29 9 14 16.4 180
