Time: 3602.37
Lx: 157.643 0.678292
Ly: 60
Id TipoPieza x y ángulo
0 0 107.949 59 0
1 0 137.435 40 180
2 0 143.435 52 180
3 1 91.9691 35 0
4 1 78.8258 16.6368 180
5 1 91.9691 5 180
6 2 104.708 50.7558 0
7 2 117.114 24 0
8 2 148.643 36.5208 0
9 3 0 28 0
10 3 0 58 0
11 3 29 15 0
12 4 64.5086 42 0
13 4 29 48 180
14 4 64.5086 59 180
15 5 44.5444 59 0
16 5 59.2526 32 0
17 5 131.635 32 0
18 6 0 5 0
19 6 36.2111 34 180
20 6 43 23 180
21 7 49.2391 14.0618 0
22 7 73.9708 59 180
23 7 84.8914 50.0565 180
24 8 0 36 0
25 8 77.8258 36.6368 0
26 8 98.0675 5 0
27 9 143.643 42.5208 0
28 9 37.8846 59 180
29 9 96.6679 59 180
