Time: 3606.76
Lx: 69.8441 0.273883
Ly: 60
Id TipoPieza x y ángulo
0 0 2.88992 12.0351 0
1 0 54.8441 34.1288 0
2 0 46.8161 29.5704 180
3 1 57.8441 6.1488 90
4 1 57.8441 17.3778 90
5 1 57.3153 36.6 180
6 2 2 37.0351 0
7 2 13 37.0351 0
8 2 24 37.0187 0
9 3 0 60 0
10 3 30.6859 60 0
11 3 33 28.5704 0
12 4 57.2377 23.7353 0
13 4 28.6859 60 180
14 4 30.6859 55 180
15 5 3.11714 37.0351 90
16 5 58 1.62883 180
17 5 48.3095 13.6156 270
18 6 34.2577 38.1288 0
19 6 34.2577 3 0
20 6 69.8441 50.6 180
21 7 45.6859 40.1288 0
22 7 58.4836 10.6046 0
23 7 59.6859 54 0
24 8 25.2577 2 0
25 8 19.791 46.7373 90
26 8 6.92506 8 270
27 9 58.6859 60 180
28 9 2.57176e-15 14.0741 270
29 9 14 60 270
