Time: 3602.39
Lx: 27.1489 0.289107
Ly: 70
Id TipoPieza x y ángulo
0 0 10.1773 6.05674 0
1 1 21 60 0
2 2 21.1489 36 0
3 3 0 49.1489 0
4 4 17.1489 26 0
5 5 10.1489 18.0567 0
6 6 8.1773 10.0567 0
7 7 6 60 0
8 8 4.78723 38.7234 0
9 9 5.20567 0 0
10 10 5.14894 60 0
11 11 13.1489 22.7234 0
12 12 18.1489 36 0
13 13 19.1489 0 0
14 14 5 39.1489 0
15 15 4 29.7074 0
16 16 2 64 0
17 17 21.1489 8 0
18 18 8 64 0
19 19 4 13.5887 0
20 20 0 1.58865 0
21 21 4 5.58865 0
22 22 15.1489 48 0
23 23 0 21.5887 0
24 24 17.1489 16 0
