Time: 3601.64
Lx: 34.1 0.434018
Ly: 70
Id TipoPieza x y ángulo
0 0 14.1561 8.87868 0
1 1 20.4 23.6296 0
2 2 28.1 37.597 0
3 3 15.4 13.5787 0
4 4 0 14.6396 0
5 5 0 34.3296 0
6 6 26.1 0 0
7 7 24.1 47.0296 0
8 8 5.8128 0 0
9 9 0 5.93964 0
10 10 13.1226 66.3896 0
11 11 28.1 8.7 0
12 12 28.1 58 0
13 13 8.7 16.9296 0
14 14 9.14519 60 0
15 15 4 55.7251 0
16 16 12.7926 57.7296 0
17 17 28.1 28.897 0
18 18 0 25.3396 0
19 19 4 41.0296 0
20 20 0.1 49.7296 0
21 21 23.4 36.3296 0
22 22 9.49261 45.0296 0
23 23 6.7 25.6296 0
24 24 8.7 34.3296 0
