Time: 3602.9
Lx: 27.3846 0.295225
Ly: 70
Id TipoPieza x y ángulo
0 0 15.3846 4 0
1 1 12.3846 26.7692 0
2 2 0 48.7692 0
3 3 10 11.2692 0
4 4 7.38462 0 0
5 5 12.2967 19.7692 0
6 6 15 49.7692 270
7 7 2 54.7692 0
8 8 9.5 49.7692 0
9 9 19.3846 8 0
10 10 0 68.7692 0
11 11 6 8.15385 0
12 12 21.3846 50 0
13 13 0 0.615385 0
14 14 14.3846 60 0
15 15 20 11.7692 0
16 16 8.2967 21.7582 0
17 17 2 25.4615 0
18 18 12 36.7692 0
19 19 23 39.7692 0
20 20 20 35.7692 0
21 21 23.3846 17.7692 0
22 22 0 36.7692 0
23 23 19.3846 62 0
24 24 17.3846 25.7692 0
