Time: 3602.4
Lx: 27.4 0.29562
Ly: 70
Id TipoPieza x y ángulo
0 0 11.9714 2.12395 90
1 1 9.39997 57.4 270
2 2 1.93326 45.9333 0
3 3 19.4 62 0
4 4 0 60 0
5 5 0 11.9333 0
6 6 19.4 17.2668 0
7 7 25.4 30.4 180
8 8 0.0333707 0 0
9 9 7.47999 20.2399 0
10 10 0 50 90
11 11 6 20.9333 0
12 12 18.0334 12 180
13 13 6.02545 20.9672 270
14 14 10.1666 50.4 180
15 15 21.2214 14.7239 90
16 16 3.67394e-16 43.9333 270
17 17 10 62 0
18 18 0 17.9333 0
19 19 23.4 53.4 0
20 20 1.10218e-15 39.9333 270
21 21 19.4 13.2668 270
22 22 15.1666 40.4 0
23 23 9.39997 32.4 0
24 24 17.4 30.4 0
