Time: 3603.2
Lx: 93.1173 0.25714
Ly: 104
Id TipoPieza x y ángulo
0 0 68.1173 0 0
1 0 72.1173 28 0
2 0 21 99 180
3 0 46.1173 104 180
4 1 21 56.3148 0
5 1 21 60.8148 0
6 1 69.5935 103 0
7 1 21 66 180
8 2 42 52.4709 0
9 2 56.1173 82.619 0
10 3 21 65 0
11 3 89.1173 60.3095 0
12 4 7.52593 54 0
13 4 33 0 0
14 4 43 3.31481 0
15 4 46.1173 82.619 0
16 5 27 80.3862 0
17 5 31 20 0
18 5 40 35.3148 0
19 5 85.399 78.9008 0
20 6 29 37.3148 180
21 6 72.1173 51.3148 180
22 7 4.84804 37.3922 0
23 7 80.963 82.619 180
