Time: 3600.23
Lx: 98.435 0.297272
Ly: 104
Id TipoPieza x y ángulo
0 0 25.355 76 0
1 0 47.395 45.92 0
2 0 46.355 74.96 180
3 0 68.395 102.96 180
4 1 46.625 37.5083 0
5 1 48.4514 5 0
6 1 48.4514 43.88 0
7 1 21 99 180
8 2 49.0628 9.22486 0
9 2 48.0228 31.2134 180
10 3 0 38.388 0
11 3 9.27501 57.7112 0
12 4 14.315 48.2934 0
13 4 14.315 60.3334 0
14 4 14.315 72.3734 0
15 4 88.435 15.2249 0
16 5 2 78.428 180
17 5 2 17.348 180
18 5 6.12279 0 180
19 5 6.23501 76.2942 180
20 6 69.435 27.2649 0
21 6 69.435 67 0
22 7 5.04 32.2534 0
23 7 9.16279 0 0
