Time: 3602.18
Lx: 2642 0.740858
Ly: 1000
Id TipoPieza x y ángulo
0 0 581 201.675 0
1 0 1002.67 856 0
2 0 1425 196 0
3 1 937 201.675 0
4 1 1781 440 0
5 1 1781 880 0
6 1 1781 220 0
7 1 1781 0 0
8 1 1781 660 0
9 2 913 703.097 0
10 2 2226 390 0
11 2 2226 898.157 0
12 3 0 577.384 0
13 3 0 747.384 0
14 3 569 70 0
15 3 853 101.675 0
16 3 1137 280 0
17 3 1497 96 0
18 4 2004.26 508.157 0
19 4 2039.42 0 0
20 4 2365.58 900 0
21 4 2597 900 0
22 4 2597 162 0
23 4 2597 566.421 0
24 4 2597 728.421 0
25 4 2597 370.421 0
26 4 2597 0 0
27 5 568 732.032 0
28 5 1297 661.675 0
29 5 1681 750 0
30 6 802.675 850 0
31 6 1358.67 850 0
32 6 2326 0 0
33 7 286 10 180
34 7 286 837.426 180
35 7 702.675 844 180
36 8 48 266 0
37 8 321 282.032 0
38 8 1165 0 0
39 9 2326 250 0
40 9 2326 704 0
41 9 2326 446 0
