Time: 3606.32
Lx: 2744.79 0.58427
Ly: 1000
Id TipoPieza x y ángulo
0 0 744 468 0
1 0 1517.58 544 0
2 0 1517.58 70 0
3 0 1517.58 688 0
4 0 1873.58 0 0
5 1 1517.58 284 0
6 1 1773.58 526 0
7 1 1773.58 166 0
8 1 1773.58 286 0
9 1 1773.58 406 0
10 1 1773.58 688 0
11 1 1773.58 808 0
12 1 1973.58 544 0
13 1 1973.58 424 0
14 1 2173.58 578 0
15 2 1088.58 840 0
16 2 1088.58 468 0
17 2 1517.58 468 0
18 2 1517.58 1000 0
19 2 1517.58 772 0
20 3 0 70 0
21 3 0 140 0
22 3 904.578 140 0
23 3 918.578 70 0
24 3 1088.58 354 0
25 3 1088.58 544 0
26 3 1088.58 284 0
27 3 1088.58 474 0
28 3 1102.58 70 0
29 3 1589.58 284 0
30 4 2516.79 938 0
31 4 2516.79 876 0
32 4 2592.79 862 0
33 4 2592.79 539.333 0
34 4 2606.79 938 0
35 4 2633.12 651 0
36 4 2651.79 893 0
37 4 2651.79 803 0
38 4 2651.79 713 0
39 4 2654.79 539.333 0
40 4 2673.45 601.333 0
41 4 2699.79 494.333 0
42 4 2699.79 665 0
43 4 2699.79 432.333 0
44 4 2699.79 280.853 0
45 5 284 948 0
46 5 284 568.726 0
47 5 568 568.726 0
48 5 568 818 0
49 5 852 978.578 0
50 6 1773.58 0 0
51 6 1873.58 526 0
52 6 1873.58 850 0
53 6 1873.58 676 0
54 6 2073.58 544 0
55 7 2156.53 329.797 0
56 7 2156.53 156 0
57 7 2442.53 156 0
58 7 2442.53 503.593 0
59 7 2458.79 323.458 0
60 8 1894.41 254 0
61 8 1894.41 144 0
62 8 1973.58 794 0
63 8 2282.53 468 0
64 8 2282.53 318.377 0
65 9 2030.12 698 0
66 9 2073.58 448 0
67 9 2073.58 352 0
68 9 2184.12 698 0
69 9 2184.12 904 0
