Time: 3601.82
Lx: 701 0.308405
Ly: 1000
Id TipoPieza x y ángulo
0 0 0 786 0
1 0 0 589 0
2 0 0 0 0
3 0 -2.84217e-13 214 0
4 1 501 543.4 0
5 1 501 0 0
6 1 501 173.2 0
7 1 501 663.4 0
8 1 502.2 293.2 0
9 1 601 120 0
10 1 601 0 0
11 1 601 491.4 0
12 2 245 589 0
13 2 501 600 0
14 2 501 372 0
15 2 501 891.2 0
16 3 0 1000 0
17 3 0 214 0
18 3 286 140 0
19 3 286 472 0
20 3 286 70 0
21 3 286 786 0
22 3 286 1000 0
23 3 517 491.4 0
24 4 493.2 891.2 0
25 4 555.2 783.4 0
26 4 555.2 845.4 0
27 4 555.2 938 0
28 4 605.6 898.4 0
29 4 625 777.4 0
30 4 656 656.4 0
31 4 656 718.4 0
32 4 656 836.4 0
33 4 656 359.4 0
34 4 656 938 0
35 4 656 285 0
