Time: 3601.38
Lx: 702 0.30939
Ly: 1000
Id TipoPieza x y ángulo
0 0 446 856 0
1 0 446 712 0
2 0 446 0 0
3 0 702 394 90
4 1 30 275 0
5 1 197 828 0
6 1 197 630 0
7 1 120 800 90
8 1 120 900 90
9 1 374 495 90
10 1 374 395 90
11 1 374 245 90
12 2 412 1000 0
13 2 1.50019e-14 490 90
14 2 184 245 90
15 2 412 389 90
16 3 0 158 0
17 3 0 228 0
18 3 0 560 0
19 3 70 630 0
20 3 304 700 0
21 3 0 616 90
22 3 374 419 90
23 3 488 528 90
24 4 334 803 0
25 4 337 120 0
26 4 337 710 0
27 4 337 908 0
28 4 337 30 0
29 4 461 208 0
30 4 461 466 0
31 4 657 144 0
32 4 657 208 0
33 4 657 270 0
34 4 657 332 0
35 4 657 650 0
