Time: 3600.93
Lx: 679 0.285997
Ly: 1000
Id TipoPieza x y ángulo
0 0 184 0 0
1 0 357 856 0
2 0 144 322 90
3 0 144 578 90
4 1 459 736 0
5 1 459 486 0
6 1 459 238 0
7 1 459 0 0
8 1 579 736 0
9 1 579 26 0
10 1 217 896 90
11 1 579 636 90
12 2 389 803 0
13 2 389 391 0
14 2 389 391 90
15 2 389 636 90
16 3 0 70 0
17 3 0 132 90
18 3 74 138 90
19 3 144 391 90
20 3 217 816 90
21 3 287 803 90
22 3 287 391 90
23 3 389 636 90
24 4 52 70 0
25 4 52 938 0
26 4 109 834 0
27 4 191 299 0
28 4 464 176 0
29 4 634 938 0
30 4 634 419 0
31 4 634 177 0
32 4 634 674 0
33 4 634 267 0
34 4 634 329 0
35 4 634 584 0
