Time: 3601.67
Lx: 1092 0.445046
Ly: 1000
Id TipoPieza x y ángulo
0 0 0 214 0
1 0 0 856 0
2 0 0 358 0
3 0 0 70 0
4 0 765.5 615.5 0
5 1 0 502 0
6 1 256 0 0
7 1 256 603 0
8 1 501 759.5 0
9 1 501 0 0
10 1 501 879.5 0
11 1 501 240 0
12 1 501 360 0
13 1 501 120 0
14 1 601 508 0
15 2 501 1000 0
16 2 501 586 0
17 2 501 348 0
18 2 1030 596 0
19 2 1030 368 0
20 3 0 70 0
21 3 601 438 0
22 3 601 70 0
23 3 601 350 0
24 3 601 210 0
25 3 601 508 0
26 3 601 280 0
27 3 601 140 0
28 3 601 1000 0
29 3 801 140 0
30 4 836 907 0
31 4 957 835 0
32 4 957 938 0
33 4 1040 662 0
34 4 1047 171 0
35 4 1047 724 0
36 4 1047 261 0
37 4 1047 876 0
38 4 1047 517 0
39 4 1047 786 0
40 4 1047 413 0
41 4 1047 78 0
42 4 1047 579 0
43 4 1047 938 0
44 4 1047 351 0
