Time: 3602.04
Lx: 812.419 0.341374
Ly: 1000
Id TipoPieza x y ángulo
0 0 284 650 0
1 0 528.419 479.686 0
2 0 528.419 1000 0
3 0 812.419 431.667 0
4 0 812.419 1000 0
5 1 326.419 812 0
6 1 426.419 616.111 0
7 1 560.419 812 0
8 1 612.419 431.667 0
9 1 712.419 431.667 0
10 2 0 322 0
11 2 0 156 0
12 2 312.81 637.925 0
13 2 446 156 0
14 2 526.419 737.667 0
15 3 0 760 0
16 3 0 650 0
17 3 160 650 0
18 3 276.419 331.686 0
19 3 286 129.686 0
20 4 88 314 0
21 4 88 870 0
22 4 88 516 0
23 4 292 0 0
24 4 658.419 95.6672 0
