Time: 3610
Lx: 83.5 0.522156
Ly: 40
Id TipoPieza x y ángulo
0 0 0 35 0
1 0 0 22 0
2 0 0 0 0
3 0 -2.00027e-09 17 0
4 0 11 11 0
5 0 14 0 0
6 0 14 18 0
7 0 14 23 0
8 0 28 0 0
9 0 28 18 0
10 0 28 35 0
11 0 42 13 0
12 0 42 35 0
13 0 42 7 0
14 0 48 18 0
15 1 56 12 0
16 1 62 6 0
17 1 62 18 0
18 1 65 27 0
19 1 71.5 20.5 0
20 1 71.5 32.5 0
21 1 71.5 8.5 0
22 2 0 7 0
23 2 0 13 0
24 2 0 31 0
25 2 14 36 0
26 2 14 7 0
27 2 16 30 0
28 2 31 11 0
29 2 36 31 0
30 2 36 5 0
31 3 25 14 0
32 3 30 31 0
33 3 42 20 0
34 3 47 3 0
35 3 47 25 0
36 3 47 31 0
37 3 53 2 0
38 3 53 31 0
39 3 59 33 0
40 3 59 25 0
41 3 65 34 0
42 3 69 36 0
