Time: 3603.7
Lx: 78 0.488462
Ly: 40
Id TipoPieza x y ángulo
0 0 0 11 0
1 0 33 20 0
2 0 33 6 0
3 0 33 15 0
4 0 33 1 0
5 0 49 20 0
6 0 50 25 0
7 0 50 30 0
8 0 60 0 0
9 0 64 35 0
10 0 64 30 0
11 0 33 11 180
12 0 33 16 180
13 0 49 16 180
14 0 64 40 180
15 1 35.5 32.5 0
16 1 47 6 0
17 1 48 17 0
18 1 54 11 0
19 1 61.5 18.5 0
20 1 65 27 0
21 1 66 11 0
22 2 11 24 0
23 2 11 30 0
24 2 11 18 0
25 2 17 36 0
26 2 22 30 0
27 2 22 24 0
28 2 11 38 180
29 2 11 32 180
30 2 17 9 180
31 3 0 22 0
32 3 2 26 0
33 3 2 2 0
34 3 4 18 0
35 3 23 18 0
36 3 27 16 0
37 3 27 2 0
38 3 33 27 0
39 3 33 36 0
40 3 44 36 0
41 3 44 27 0
42 3 72 20 0
