Time: 3600.49
Lx: 52.019 0.461735
Ly: 40
Id TipoPieza x y ángulo
0 0 6.6 0 0
1 0 19.4971 15.7467 0
2 0 21.1657 0 0
3 0 22.8971 21.2 0
4 0 23.6 6.94673 0
5 0 37.1314 35 0
6 0 38 9.94673 0
7 1 0 12.7657 0
8 1 3.53137 32.9657 0
9 1 6.2 19.1314 0
10 1 11.2 11.4 0
11 1 34.458 29.5953 0
12 1 40.019 22.5905 0
13 1 40.019 6 0
14 2 0 22.4971 0
15 2 14.3314 27.2 0
16 2 14.3314 36 0
17 2 25.7314 36 0
18 2 25.8971 14.3467 0
19 2 25.8971 30.6 0
20 2 30 5.54673 0
21 3 0 2 0
22 3 0 36 0
23 3 0.4 27.5314 0
24 3 15.0971 22.8 0
25 3 15.9314 31.6 0
26 3 35.2971 18.7467 0
27 3 46.019 30.6 0
