Time: 3603.76
Lx: 60.6667 0.465934
Ly: 40
Id TipoPieza x y ángulo
0 0 0 9 0
1 0 0 30 0
2 0 0 14 0
3 0 2 0 0
4 0 14 5 0
5 0 14 14.4444 0
6 0 14 33 0
7 0 46.6667 0 0
8 0 14 40 180
9 1 0 27 0
10 1 15.4444 25.4444 0
11 1 26 12 0
12 1 28 28.6667 0
13 1 32 6 0
14 1 39.6667 10.3333 0
15 1 48.3333 13.6667 0
16 2 10 29 0
17 2 28.6667 36 0
18 2 28.6667 21.3333 0
19 2 44 36 0
20 2 49.6667 20.3333 0
21 2 49.6667 28.3333 0
22 2 27 4 180
23 2 49.6667 29.3333 180
24 2 49.6667 24.3333 180
25 3 0 7 0
26 3 8 21 0
27 3 27 2 0
28 3 35.6667 14.3333 0
29 3 38 34.1111 0
30 3 39.6667 16.3333 0
31 3 43.6667 18.3333 0
32 3 49.6667 24.3333 0
33 3 53.6667 34.6667 0
