Time: 3601.24
Lx: 19.3509 0.289438
Ly: 40
Id TipoPieza x y ángulo
0 0 2 16.9323 0
1 0 7 33.7018 180
2 1 7.35088 22.4035 0
3 1 18.3509 38 180
4 2 7.35088 10.4912 0
5 2 19.3509 8.59649 180
6 3 0 9 0
7 3 0 3 0
8 3 0 0 0
9 3 4 7.84211 0
10 3 4 16.9323 180
11 4 0 1 0
12 4 0 2 0
13 4 0 0 0
14 4 10.7544 0 0
15 5 0 26.5589 0
16 5 9 39 0
17 5 15.3509 39 0
18 5 15.3509 28.9035 0
19 6 1 24.218 0
20 6 1 6 0
21 6 3.85088 37 0
22 6 10.1053 28.7018 0
23 7 8 40 180
24 7 17 32 180
25 7 17 20.4035 180
26 7 18.3509 22.4035 180
