Time: 3601.13
Lx: 24 0.427083
Ly: 40
Id TipoPieza x y ángulo
0 0 16.5383 29.2 0
1 0 17 18.7377 0
2 1 12 10.9377 0
3 1 12 10.3139 180
4 2 12 39 180
5 2 12 28.4 180
6 3 15.6 5.93137 0
7 3 20 7.53769 0
8 3 19.9383 39.6 180
9 3 20 3.13137 180
10 4 0 0 0
11 4 0 2.13137 0
12 4 7.83431 0.731371 0
13 4 16 17.3377 0
14 5 0 10.7139 0
15 5 5.71835 29.8 0
16 5 12.4 25.4321 0
17 5 20 25.2966 0
18 6 0 18.7377 0
19 6 12.4 17.3377 0
20 6 12.4 2.13137 0
21 6 12.4 29.5823 0
22 7 1 12.1139 0
23 7 13.4 27.1823 0
24 7 8 16.5139 180
25 7 20.5559 5.53137 180
