Time: 3600.51
Lx: 18 0.236111
Ly: 40
Id TipoPieza x y ángulo
0 0 7 13.3333 180
1 0 16 13 180
2 1 6 0 0
3 1 6 27 90
4 2 17 24.1595 90
5 2 16.7833 21.1595 180
6 3 13.7833 21.1595 0
7 3 12.3619 36 90
8 3 16.7976 36 90
9 3 4 3 180
10 4 8 21.4206 90
11 4 8 40 180
12 4 8 6.33333 180
13 4 8 38.4206 270
14 5 3.75 21.5 90
15 5 4.75 22 90
16 5 18 3 90
17 5 18 11 90
18 6 1 12.4762 90
19 6 2 13.3333 90
20 6 2.75 19.75 90
21 6 5 0 90
22 7 10 22.4206 90
23 7 0 25 270
24 7 2.78333 21.0167 270
25 7 6 38.4206 270
