Time: 3610.19
Lx: 18.3826 0.25201
Ly: 40
Id TipoPieza x y ángulo
0 0 10.775 8.53587 0
1 0 0 11.6609 270
2 1 6.38261 3 0
3 1 17.4 28 90
4 2 0 30 0
5 2 2.8375 15.6609 0
6 3 4.52547 0 0
7 3 4 0 90
8 3 4 28.6609 180
9 3 4 40 180
10 4 1 13.6609 0
11 4 8.52547 0 0
12 4 1.46958e-15 19.6609 270
13 4 1 22.6609 270
14 5 2 22.6609 0
15 5 4 12.6609 0
16 5 4 26.6609 0
17 5 4 27.6609 0
18 6 6.52547 9 0
19 6 6.52547 25.6609 0
20 6 15.3826 22.6609 0
21 6 15.3826 14.2194 0
22 7 1 23.6609 0
23 7 10 23.6609 0
24 7 10.3826 25.6609 0
25 7 10.3826 1 0
