Time: 3601.18
Lx: 30.44 0.322438
Ly: 40
Id TipoPieza x y ángulo
0 0 11.44 23.1199 0
1 0 13.56 33 0
2 0 22.6444 31.0845 0
3 1 7.44003 5 0
4 1 18.44 11 0
5 1 18.44 0 0
6 2 0 30.2399 0
7 2 0 16 0
8 2 18.44 24.0553 0
9 3 0 2 0
10 3 0 5 0
11 3 13.1523 29.6307 0
12 3 21.44 6 0
13 3 26.44 7.77718 0
14 3 26.44 37 0
15 4 0 1 0
16 4 2.10669 0 0
17 4 9.44997 11.45 0
18 4 9.44997 3.44997 0
19 4 10.1067 0 0
20 4 10.1067 1 0
21 5 0 8 0
22 5 0 13 0
23 5 1.44003 14 0
24 5 1.44003 27.4599 0
25 5 1.44003 10 0
26 5 5.44003 26.1199 0
27 6 2.44003 9 0
28 6 2.44003 26.4599 0
29 6 18.44 32.2889 0
30 6 23.1619 17.0553 0
31 6 23.44 10 0
32 6 23.44 18.0553 0
33 7 1 11 0
34 7 7 13 0
35 7 13.2362 21.0553 0
36 7 13.2362 19.0553 0
37 7 13.2362 17.0553 0
38 7 22.44 21.0553 0
