Time: 3601.3
Lx: 54.9634 0.374583
Ly: 40
Id TipoPieza x y ángulo
0 0 38.5634 33 0
1 0 44.3768 10.4917 0
2 0 47.9634 33 0
3 0 47.9634 18.4005 0
4 0 47.9634 3.6 0
5 1 1 33.7526 0
6 1 17.8 18.8 0
7 1 20.755 11 0
8 1 30.5634 20.2006 0
9 1 42.9634 27.245 0
10 2 0 3.96569 0
11 2 0 14.028 0
12 2 0 23.4403 0
13 2 12.4 25.355 0
14 2 24.6455 30.0223 0
15 3 12.0023 13 0
16 3 12.4 9.6 0
17 3 12.4 2.8 0
18 3 12.4 16.4 0
19 3 12.4 19.8 0
20 3 12.4 6.2 0
21 3 16.8 1.4 0
22 3 16.8 7.6 0
23 3 21.2 7.6 0
24 3 25.6 0 0
25 4 0 1.56569 0
26 4 0 11.628 0
27 4 0 0.165685 0
28 4 8.4 0 0
29 4 8.4 1.4 0
30 4 16.9657 4.8 0
31 4 16.9657 0 0
32 4 16.9657 6.2 0
33 4 22.9589 39 0
34 4 24.1165 17.4 0
35 5 26.1314 7.6 0
36 5 26.1314 9 0
37 5 35.7634 5.2 0
38 5 35.7634 3.8 0
39 5 37.0455 30.4223 0
40 5 37.5634 29.0223 0
41 5 41.72 6.92236 0
42 5 42.7048 18.3854 0
43 5 46.9634 0 0
44 5 50.9634 1.4 0
45 6 21.2455 37.6 0
46 6 30 0 0
47 6 33.4 0 0
48 6 40.1634 8.32236 0
49 6 40.1634 3.8 0
50 6 43.5634 2.8 0
51 6 43.5634 1.4 0
52 6 43.5634 4.2 0
53 6 43.5634 0 0
54 6 43.5634 25.8005 0
55 7 1 31.3526 0
56 7 12.8455 38 0
57 7 27.3634 3.8 0
58 7 31.5314 6.6 0
59 7 33.32 13.0006 0
60 7 33.5634 9.72236 0
61 7 33.5634 1.4 0
62 7 33.5634 15.4006 0
63 7 33.5634 17.8006 0
64 7 33.5634 26.6223 0
