Time: 3601
Lx: 88.6071 0.390568
Ly: 40
Id TipoPieza x y ángulo
0 0 29 3.7619 0
1 0 38 11 0
2 0 39.5 27 0
3 0 46 16.6429 0
4 0 47 0 0
5 0 59 23 0
6 0 59 6.78571 0
7 0 68.6071 26 0
8 1 64.6071 0 0
9 1 64.6071 17 0
10 1 76.6071 8 0
11 1 76.6071 2 0
12 1 76.6071 14 0
13 1 76.6071 20 0
14 1 76.6071 32 0
15 1 76.6071 26 0
16 2 0 19 0
17 2 0 29 0
18 2 12 22 0
19 2 12 12 0
20 2 12 2 0
21 2 12 31 0
22 2 24 23 0
23 2 24 12 0
24 3 26.7619 0 0
25 3 28 35 0
26 3 40 19.5 0
27 3 50 26.5 0
28 3 54 14.7857 0
29 3 54 37 0
30 3 54 17.7857 0
31 3 54 1 0
32 3 61.1071 30 0
33 3 61.1071 33 0
34 3 65.1071 34 0
35 3 70.6071 23 0
36 3 70.6071 6 0
37 3 70.6071 14 0
38 3 70.6071 33 0
39 4 4 17 0
40 4 34 9.33333 0
41 4 36 4 0
42 4 36 0 0
43 4 42 36 0
44 4 46 37 0
45 4 47 24.5 0
46 4 47 10.3333 0
47 4 47 7 0
48 4 53.1071 0 0
49 4 53.1071 33 0
50 4 54 4 0
51 4 56.6071 36 0
52 4 58 13.7857 0
53 4 58 39 0
54 5 0 1 0
55 5 0 0 0
56 5 0 27 0
57 5 14.8571 19 0
58 5 20 39 0
59 5 24 35 0
60 5 24 37 0
61 5 27 20 0
62 5 31 39 0
63 5 31 20 0
64 5 32 31 0
65 5 32 21 0
66 5 37 24.5 0
67 5 37 18 0
68 5 50 36 0
69 6 12 20 0
70 6 17 11 0
71 6 23 10 0
72 6 23 0 0
73 6 23.2 21 0
74 6 24 39 0
75 6 24 38 0
76 6 24 20 0
77 6 31.6667 10 0
78 6 31.6667 38 0
79 6 37 19 0
80 6 39 5 0
81 6 42 6 0
82 6 42 10.5714 0
83 6 42 7 0
84 7 28 33 0
85 7 33 36 0
86 7 37 34 0
87 7 37 1 0
88 7 37 22.5 0
89 7 37 25.5 0
90 7 37 38 0
91 7 46 38 0
92 7 46 34 0
93 7 46 14.6429 0
94 7 49 31 0
95 7 49 12.6429 0
96 7 50 22.5 0
97 7 67.6071 37 0
98 7 78.6071 38 0
