Time: 3601.29
Lx: 10888 0.200453
Ly: 4900
Id TipoPieza x y ángulo
0 0 4888 347 0
1 0 7888 397.949 0
2 1 4062.79 4639 0
3 1 4622.84 0 0
4 2 2705 192.417 0
5 2 4081.33 2552.68 0
6 2 6522 2636.05 0
7 2 8705 2686.5 0
8 3 4299.88 4322.82 0
9 3 4299.88 4136.82 0
10 3 6333.96 4087.97 0
11 3 6536.03 4304.18 0
12 4 7656.84 0 0
13 4 7705.08 4532 0
14 4 8408.16 4128.52 0
15 4 9256.84 0 0
16 5 0 2948 0
17 5 0 2289 0
18 5 0 4241 0
19 5 3126.79 1639.81 0
20 6 992 2241 0
21 6 992 3607 0
22 7 -3.05772e-09 0 0
23 7 17.3441 1152 0
