Time: 3600.36
Lx: 10839.2 0.196852
Ly: 4900
Id TipoPieza x y ángulo
0 0 3000 1667 0
1 0 3000 3803 180
2 1 0 3889 0
3 1 6869.18 2121 0
4 2 0 173 0
5 2 8656.18 316.495 0
6 2 8656.18 2646.62 0
7 2 8656.18 1629.49 180
8 3 74 4150 0
9 3 2252.38 1078.8 0
10 3 2252.38 892.805 0
11 3 3664.61 305 180
12 4 5798.98 1753 0
13 4 8303.18 1753 0
14 4 1600 4755.48 180
15 4 3848.38 1669.8 180
16 5 1904.33 4241 0
17 5 2400.61 255.965 0
18 5 9903.18 4175.07 0
19 5 9903.18 1814.62 0
20 6 6451.5 1293 180
21 6 8582.11 3675 180
22 7 6044 3748 0
23 7 6044 4900 180
