Time: 3601.9
Lx: 11902.8 0.268623
Ly: 4900
Id TipoPieza x y ángulo
0 0 11902.8 4812.42 180
1 0 11902.8 2502.94 180
2 1 4882.42 4639 0
3 1 6731.81 2483.18 0
4 2 0 3146.3 0
5 2 0 346.376 0
6 2 1875.93 1746.34 0
7 2 4175.75 1853.39 0
8 3 1666 4900 180
9 3 1666 2100.08 180
10 3 3767.81 3522.23 180
11 3 4513.86 305 180
12 4 3722.64 640.427 180
13 4 5996.49 3753.67 180
14 4 6187.55 368 180
15 4 8561.7 1688.78 180
16 5 0 2160.69 0
17 5 4918.07 3802.67 0
18 5 7382 1775.18 0
19 5 7965.42 4241 0
20 6 2249.07 3590.14 0
21 6 8819.73 4192 180
22 7 6281.04 49 0
23 7 6232.04 1631.39 180
