Time: 3605.36
Lx: 11231.6 0.224916
Ly: 4900
Id TipoPieza x y ángulo
0 0 2183 1497.27 0
1 0 8231.65 86 0
2 1 5183 3111 0
3 1 8197.65 2260 0
4 2 0 188.596 0
5 2 0 2142.71 0
6 2 4230.28 173 0
7 2 6014.65 1624 0
8 3 2363.79 0 0
9 3 6146.43 0 0
10 3 6790.93 3372 0
11 3 9279.09 3673 0
12 4 2359.79 305 0
13 4 9149.09 3978 0
14 4 9346.23 4532 0
15 4 2131.8 2011.87 180
16 5 0 3548.66 0
17 5 0 4207.66 0
18 5 2183 705.423 0
19 5 6413.28 414.48 0
20 6 1232.38 3607 0
21 6 6576.93 3607 0
22 7 3852.38 3671.27 0
23 7 8526.65 2521 0
