Time: 3602.36
Lx: 31.1986 0.307661
Ly: 15
Id TipoPieza x y ángulo
0 0 21.6454 1 0
1 0 26.0071 1 0
2 0 27.1986 11 0
3 0 27.1986 5.40426 0
4 1 14.6667 10 0
5 1 14.6667 5 0
6 1 18.656 0.0212766 0
7 1 24.3262 4.65957 0
8 2 18.1773 5.02128 0
9 2 18.6667 11 0
10 2 21.4326 7.76596 0
11 2 24.1986 11 0
12 3 10.1667 5 0
13 3 10.1667 0 0
14 3 10.1667 10 0
15 3 14.1667 0 0
16 4 2.16667 2 0
17 4 3.16667 10 0
18 4 5.16667 0 0
19 4 5.16667 7 0
20 5 2 9.25 0
21 5 4.16667 12 0
22 5 4.16667 4 0
23 5 4.5 7 0
24 6 0 1.44444 0
25 6 0 7 0
26 6 0 12.25 0
27 6 0 3.44444 0
