Time: 3605.74
Lx: 37.1 0.272237
Ly: 15
Id TipoPieza x y ángulo
0 0 4.45833 11 0
1 0 10.9167 11 0
2 0 21.85 1.5 0
3 0 25.4167 11 0
4 0 33.1 1 0
5 1 28.6 5 180
6 1 29.1 10 180
7 1 32.1 5 180
8 1 32.6 10 180
9 1 36.1 10 180
10 2 7 0 0
11 2 15.25 0 0
12 2 19.25 11 0
13 2 23.25 6 0
14 2 34.1 11 0
15 3 14.5833 10 0
16 3 18.25 6.5 0
17 3 18.25 0.7 0
18 3 21.75 10 0
19 3 29.4333 10 0
20 4 5 9.84375 180
21 4 9 6 180
22 4 14 9.84375 180
23 4 15.25 5 180
24 4 19 10 180
25 5 2 6 180
26 5 2 3 180
27 5 3.22917 12.8437 180
28 5 5.10417 9 180
29 5 9.6875 12.8437 180
30 6 0 11 0
31 6 0 13 0
32 6 2 13 0
33 6 7 6.15625 0
34 6 11.1562 5 0
