Time: 3603.07
Lx: 36.4119 0.258484
Ly: 15
Id TipoPieza x y ángulo
0 0 23.4119 1 0
1 0 28.4119 6 0
2 0 28.4119 1 0
3 0 28.4119 11 0
4 0 32.4119 1 0
5 1 15.7619 8 0
6 1 25.4119 5 0
7 1 33.4119 6 0
8 1 3 5.7381 180
9 1 20.6452 6.65 180
10 2 8.7619 11 0
11 2 11.7619 0 0
12 2 12.7619 11 0
13 2 19.7619 11 0
14 2 33.4119 11 0
15 3 5 4.38095 0
16 3 7.2619 0 0
17 3 8 6.38095 0
18 3 11.0952 3.66667 0
19 3 14.4286 0 0
20 4 0 5.7381 0
21 4 2.2619 0 0
22 4 18.4119 0.0333333 0
23 4 18.4119 6.65 0
24 4 23.4119 10 0
25 5 2.49206 9 0
26 5 4.49206 12 0
27 5 24.4244 11.5063 0
28 5 2.49206 15 180
29 5 16.4286 8 180
30 6 0 7.7381 0
31 6 5.7619 11.9048 0
32 6 5.7619 9 0
33 6 8.80476 4.77143 0
34 6 12 9 0
