Time: 3603.3
Lx: 42.6276 0.366607
Ly: 15
Id TipoPieza x y ángulo
0 0 18.1382 1 0
1 0 23.246 5.3 90
2 0 37.0746 0.15 90
3 0 37.0746 9.77063 90
4 0 41.6276 11 90
5 1 11.4557 1.40702 0
6 1 30.8464 9.89156 0
7 1 42.6276 2.37937 90
8 1 42.6276 7.54125 90
9 1 16.3453 15 180
10 2 26.6964 10.2631 0
11 2 26.6964 6.11311 0
12 2 30.1277 1.59156 0
13 2 30.8464 5.74156 0
14 2 34.9964 4.96031 0
15 3 13.9882 2.67744 0
16 3 21.9903 9.61914 0
17 3 22.013 0.15 0
18 3 25.5657 1.38005 0
19 3 22.013 11 90
20 4 6.65064 7.85 90
21 4 10.3057 2.55702 90
22 4 5 8.58987 180
23 4 6.65064 5 270
24 4 10.3057 12.8274 270
25 5 3 0.169456 0
26 5 7.45227 12 0
27 5 3 10.7701 90
28 5 3 6.31946 180
29 5 16.096 9.81424 270
30 6 0 13 0
31 6 2.15 13 0
32 6 4.50064 0.15 0
33 6 6.80064 7.70702 0
34 6 8.15575 10.7848 0
