Time: 3601.28
Lx: 37.3261 0.337371
Ly: 15
Id TipoPieza x y ángulo
0 0 16.8261 5 0
1 0 20.3261 10 0
2 0 20.3261 5 0
3 0 20.3261 0 0
4 0 23.8261 10 0
5 0 23.8261 0 0
6 0 27.3261 10 0
7 0 27.3261 5 0
8 0 27.3261 0 0
9 0 30.8261 0 0
10 0 30.8261 5 0
11 0 34.3261 5 0
12 0 34.3261 10 0
13 0 34.3261 0 0
14 1 0 5 0
15 1 0 10 0
16 1 0 0 0
17 1 4 10 0
18 1 4 5 0
19 1 4 0 0
20 1 8 5 0
21 1 8 10 0
22 1 8 -6.66661e-10 0
23 1 11.8957 0.208696 0
24 1 11.9304 9.7913 0
25 1 12.3304 4.9913 0
26 1 15.8261 0 0
27 1 15.8261 10 0
