Time: 3600.32
Lx: 111.874 0.722307
Ly: 15
Id TipoPieza x y ángulo
0 0 40.1644 7.95998 0
1 0 57.619 7.78082 0
2 0 75.6819 0 0
3 0 75.6819 10 0
4 0 85.8589 7.34363 0
5 0 91.036 7.34363 0
6 0 92.0971 0.84363 0
7 0 108.874 6.87868 0
8 0 108.874 0.312105 0
9 0 3 7 180
10 0 3 13.5 180
11 0 72.1819 13.5 180
12 0 72.1819 7 180
13 0 82.3589 12 180
14 0 99.5971 5.57544 180
15 0 99.5971 13.5 180
16 0 105.374 5.23097 180
17 0 105.374 13.5 180
18 1 5.39868 3.45263 0
19 1 7.62132 10 0
20 1 10.0468 0.653639 0
21 1 15.4101 0 0
22 1 15.8892 6.43747 0
23 1 22.1183 0.333481 0
24 1 22.1183 10 0
25 1 26.8199 7.36132 0
26 1 27.9621 0 0
27 1 34.1806 0 0
28 1 39.7122 0.290844 0
29 1 44.6644 3.40399 0
30 1 44.8265 10 0
31 1 49.2839 0.519085 0
32 1 50.2776 8.5 0
33 1 61.4385 9.49591 0
34 1 61.4385 0 0
