Time: 3600.39
Lx: 76.5 0.353377
Ly: 15
Id TipoPieza x y ángulo
0 0 1 5 0
1 0 5 5 0
2 0 5 0 0
3 0 8.5 0 0
4 0 9 5 0
5 0 17 10 0
6 0 20.5 10 0
7 0 24 5 0
8 0 24 0 0
9 0 24 10 0
10 0 27.5 5 0
11 0 27.5 0 0
12 0 27.5 10 0
13 0 39.5 10 0
14 0 47 10 0
15 0 50.5 10 0
16 0 50.5 5 0
17 0 51 0 0
18 0 54.5 0 0
19 0 54.5 5 0
20 0 54.5 10 0
21 0 66.5 5 0
22 0 69.5 0 0
23 0 70 5 0
24 0 70 10 0
25 0 73.5 5 0
26 0 73.5 0 0
27 0 73.5 10 0
28 1 0 10 0
29 1 -1.00003e-09 0 0
30 1 4 10 0
31 1 8 10 0
32 1 11.5 0 0
33 1 12 10 0
34 1 15.5 0 0
35 1 15.5 5 0
36 1 19.5 5 0
37 1 30.5 5 0
38 1 30.5 10 0
39 1 30.5 0 0
40 1 34.5 5 0
41 1 34.5 10 0
42 1 34.5 0 0
43 1 38.5 5 0
44 1 38.5 0 0
45 1 42.5 0 0
46 1 42.5 10 0
47 1 42.5 5 0
48 1 46.5 0 0
49 1 57.5 10 0
50 1 57.5 0 0
51 1 57.5 5 0
52 1 61.5 10 0
53 1 61.5 0 0
54 1 61.5 5 0
55 1 65.5 10 0
