Time: 3604.97
Lx: 97 0.490034
Ly: 15
Id TipoPieza x y ángulo
0 0 35 5 0
1 0 47 5 0
2 0 51 5 0
3 0 56 10 0
4 0 56 5 0
5 0 67.5 10 0
6 0 71 10 0
7 0 74.5 0 0
8 0 80.5 10 0
9 0 88.5 10 0
10 0 92 10 0
11 0 94 0 0
12 0 3 10 180
13 0 7 10 180
14 0 47 15 180
15 0 47 5 180
16 0 50.5 5 180
17 0 62 10 180
18 0 66 10 180
19 0 71 10 180
20 0 71 5 180
21 0 74.5 10 180
22 0 78.5 10 180
23 0 80.5 5 180
24 0 86.5 15 180
25 0 92 10 180
26 0 92 5 180
27 0 96 10 180
28 1 0 10 0
29 1 4 10 0
30 1 8 10 0
31 1 8 0 0
32 1 12 0 0
33 1 12 10 0
34 1 16 0 0
35 1 16 10 0
36 1 20 5 0
37 1 20 10 0
38 1 24 0 0
39 1 24 5 0
40 1 24 10 0
41 1 28 10 0
42 1 32 10 0
43 1 32 0 0
44 1 36 10 0
45 1 40 0 0
46 1 40 10 0
47 1 47.5 10 0
48 1 51.5 10 0
49 1 51.5 0 0
50 1 59 10 0
51 1 63 10 0
52 1 74 10 0
53 1 81 5 0
54 1 81 0 0
55 1 85 0 0
