Time: 3600.81
Lx: 46 0.213768
Ly: 15
Id TipoPieza x y ángulo
0 0 1 5 0
1 0 1 10 0
2 0 1 0 0
3 0 4.5 5 0
4 0 4.5 10 0
5 0 4.5 0 0
6 0 8 5 0
7 0 8 10 0
8 0 8 0 0
9 0 11.5 5 0
10 0 11.5 10 0
11 0 11.5 0 0
12 0 15 0 0
13 0 15 5 0
14 0 18.5 0 0
15 0 18.5 5 0
16 0 18.5 10 0
17 0 22 10 0
18 0 22.5 5 0
19 0 25.5 10 0
20 0 25.5 0 0
21 0 26.5 5 0
22 0 29 0 0
23 0 29 10 0
24 0 32.5 10 0
25 0 32.5 5 0
26 0 32.5 0 0
27 0 36 0 0
28 0 36 5 0
29 0 39.5 5 0
30 0 39.5 0 0
31 0 39.5 10 0
32 0 43 10 0
33 0 43 5 0
34 0 43 0 0
