Time: 3601.17
Lx: 50.2493 0.489213
Ly: 15
Id TipoPieza x y ángulo
0 0 0 7.98849 0
1 0 0 2.65308 0
2 0 3.16195 10 0
3 0 3.22903 4.86584 0
4 0 3.83277 0 0
5 0 7.28174 5.09583 0
6 0 7.80881 10 0
7 0 7.88548 0.229996 0
8 0 11.9669 0 0
9 0 11.9669 10 0
10 0 12.3023 5 0
11 0 16.4605 5 0
12 0 16.7959 0 0
13 0 16.7959 10 0
14 0 19.9914 7.11213 0
15 0 19.9914 1.94443 0
16 0 23.5013 0 0
17 0 23.5013 9.22291 0
18 0 25.2805 4.94479 0
19 0 27.2805 10 0
20 0 27.2805 0.777085 0
21 0 29.1292 5.58285 0
22 0 31.1796 0 0
23 0 31.4007 9.88633 0
24 0 33.1234 4.41224 0
25 0 35.1234 8.57995 0
26 0 35.2589 0.176775 0
27 0 37.2589 4.34448 0
28 0 38.581 10 0
29 0 39.3581 0 0
30 0 40.7166 5.76453 0
31 0 42.7392 1.57325 0
32 0 42.7392 10 0
33 0 46.2493 2.88838 0
34 0 46.2493 8.05609 0
