Time: 3601.82
Lx: 70.9042 0.284739
Ly: 60
Id TipoPieza x y ángulo
0 0 55.9042 24.3881 0
1 0 55.9042 16 0
2 0 55.9042 8 0
3 1 12.7507 21.4 0
4 1 35.0594 12 0
5 1 50.924 37.3881 0
6 2 25.924 53.6 0
7 2 25.924 29.1874 0
8 2 59.5907 50 0
9 3 34.924 52.3881 0
10 3 34.924 37.3881 0
11 3 41.9042 17.3881 0
12 4 48.924 45 0
13 4 54.949 0 0
14 4 61.9042 54.5 0
15 5 0 32 0
16 5 4.3 59 0
17 5 14.8839 50.067 0
18 6 35.9042 20.3881 0
19 6 39.1042 58 0
20 6 47.9042 53 0
21 7 20.6082 46.6526 0
22 7 22.9556 54 0
23 7 28.6042 54 0
24 8 18.2188 2 0
25 8 25.0481 2.34135 0
26 8 53.9042 21.3881 0
27 9 5.21875 0 0
28 9 15 3 0
29 9 31.2917 53.6 0
