Time: 3600.88
Lx: 69.8424 0.273865
Ly: 60
Id TipoPieza x y ángulo
0 0 40.9806 18 0
1 0 54.8424 18.1382 0
2 0 54.8424 10.1382 0
3 1 2 12 0
4 1 2.5625 60 0
5 1 22.9806 17.9674 0
6 2 2 42 0
7 2 16.3285 55.098 0
8 2 31.9806 24 0
9 3 25.3285 45 0
10 3 25.3285 60 0
11 3 55.8424 60 0
12 4 38.9806 0 0
13 4 60.8424 40 0
14 4 60.8424 28.9706 0
15 5 11 33.0835 0
16 5 39.3285 51 0
17 5 49.6384 50.0134 0
18 6 17.2251 28 0
19 6 40.9806 8 0
20 6 46.8424 3 0
21 7 1 12 0
22 7 7.9625 54 0
23 7 12.9625 54 0
24 8 40.9806 59 0
25 8 40.9806 14.3333 0
26 8 60.9512 27.9706 0
27 9 0 42 0
28 9 15.3723 0 0
29 9 55.8424 19.1382 0
