Time: 3601.99
Lx: 65.6294 0.227252
Ly: 60
Id TipoPieza x y ángulo
0 0 50.6294 21.483 0
1 0 50.6294 53.6209 0
2 0 43.1323 49.1741 180
3 1 33.6369 17 0
4 1 35.6369 29 0
5 1 37.6915 41 0
6 2 2 33.0779 0
7 2 2.46769 57.0779 0
8 2 23.8702 30.4 0
9 3 22.3872 48.1741 0
10 3 43.6294 18.483 0
11 3 51.6294 45.6209 0
12 4 56.6294 0 0
13 4 9 9.07795 180
14 4 17.2989 60 180
15 5 10.7301 34.9042 0
16 5 22.6129 26.6281 180
17 5 51.9053 22.6209 180
18 6 27.5954 3 0
19 6 30.3876 57.6209 0
20 6 65.6294 57 180
21 7 24.1323 48.1741 0
22 7 31.9455 27.1741 0
23 7 39.3822 11 0
24 8 51.8411 24.483 0
25 8 57.6294 7 0
26 8 8 58 180
27 9 3.8141 0 0
28 9 17.8141 0 0
29 9 31.6837 60 180
