Time: 3603.55
Lx: 72.5322 0.300793
Ly: 60
Id TipoPieza x y ángulo
0 0 21.0009 8.13839 0
1 0 31.1393 8 0
2 0 15 27.7517 180
3 1 26.5644 21.1384 0
4 1 65.5322 12 0
5 1 65.5322 36.1714 180
6 2 2 26.7517 0
7 2 34.2772 33 0
8 2 55.9965 26.7857 0
9 3 0 50.7517 0
10 3 11 26.7517 0
11 3 32.0043 60 0
12 4 12.6963 6.4 0
13 4 63.5322 54.5557 0
14 4 63.5322 31.1714 0
15 5 13.7241 58.7517 0
16 5 24.1067 55.6588 0
17 5 42.9965 35.1429 0
18 6 42.0322 37.9214 0
19 6 49.3036 29.7857 0
20 6 49.5322 53.0557 0
21 7 47.0043 54 0
22 7 47.0043 39.9214 0
23 7 50.925 0 0
24 8 50.5136 57.0557 0
25 8 56.2174 59 0
26 8 41.9294 36.5831 180
27 9 24.2161 6.4 180
28 9 46.0043 45 180
29 9 60.0043 50.0557 180
