Time: 3600.93
Lx: 87.3528 0.419424
Ly: 60
Id TipoPieza x y ángulo
0 0 36.3546 22.8723 0
1 0 72.3528 33.1112 0
2 0 72.3528 8.2155 0
3 1 21.5285 52.6671 0
4 1 10.5341 48 180
5 1 19.066 41.5416 180
6 2 2 35.6 0
7 2 26.7546 26.6335 0
8 2 0 2 90
9 3 11.6 40.0671 0
10 3 69.8 24.8155 0
11 3 72.3528 46 90
12 4 11 41.2 180
13 4 13.3164 46.8 180
14 4 1.65327e-15 54.7197 270
15 5 58.2 32 0
16 5 63.1264 59 0
17 5 58.2 36.5817 270
18 6 34.6087 3 0
19 6 34.6087 58 0
20 6 59.4379 36.6335 90
21 7 31.693 36.3714 0
22 7 31.1285 55.1416 90
23 7 35.1285 45.5714 90
24 8 10.2991 13.6 0
25 8 47.8208 41.9714 180
26 8 60.9503 58 180
27 9 68.902 0 0
28 9 47.2067 54.4 180
29 9 51.8707 17.5398 270
